Datetime,Open,High,Low,Close,Volume,6
2025-06-11 09:15:00+05:30,25134.15,25136.2,25081.3,25128.2,0,0
2025-06-11 09:20:00+05:30,25127.6,25137.55,25115.05,25119.9,0,0
2025-06-11 09:25:00+05:30,25120.3,25137.0,25117.7,25136.65,0,0
2025-06-11 09:30:00+05:30,25135.95,25144.05,25128.4,25141.85,0,0
2025-06-11 09:35:00+05:30,25141.65,25150.4,25122.35,25125.1,0,0
2025-06-11 09:40:00+05:30,25124.4,25126.2,25115.85,25126.2,0,0
2025-06-11 09:45:00+05:30,25125.8,25135.85,25112.45,25132.5,0,0
2025-06-11 09:50:00+05:30,25132.3,25139.25,25129.2,25136.45,0,0
2025-06-11 09:55:00+05:30,25137.0,25148.25,25133.3,25145.7,0,0
2025-06-11 10:00:00+05:30,25145.65,25154.2,25145.65,25152.5,0,0
2025-06-11 10:05:00+05:30,25153.05,25158.35,25144.35,25157.45,0,0
2025-06-11 10:10:00+05:30,25157.9,25158.95,25146.05,25146.35,0,0
2025-06-11 10:15:00+05:30,25147.15,25154.25,25146.6,25152.1,0,0
2025-06-11 10:20:00+05:30,25152.25,25153.1,25138.6,25139.7,0,0
2025-06-11 10:25:00+05:30,25140.5,25141.5,25132.4,25138.85,0,0
2025-06-11 10:30:00+05:30,25138.85,25150.95,25135.25,25148.7,0,0
2025-06-11 10:35:00+05:30,25148.85,25150.75,25141.65,25145.65,0,0
2025-06-11 10:40:00+05:30,25145.4,25173.75,25144.8,25173.75,0,0
2025-06-11 10:45:00+05:30,25173.15,25188.85,25169.0,25172.4,0,0
2025-06-11 10:50:00+05:30,25172.0,25174.2,25168.4,25169.75,0,0
2025-06-11 10:55:00+05:30,25168.55,25178.25,25168.55,25173.9,0,0
2025-06-11 11:00:00+05:30,25174.25,25176.45,25167.3,25171.85,0,0
2025-06-11 11:05:00+05:30,25171.0,25183.75,25170.85,25176.65,0,0
2025-06-11 11:10:00+05:30,25176.85,25182.2,25173.65,25180.8,0,0
2025-06-11 11:15:00+05:30,25180.45,25203.95,25179.25,25193.05,0,0
2025-06-11 11:20:00+05:30,25193.6,25196.6,25188.2,25191.25,0,0
2025-06-11 11:25:00+05:30,25191.4,25196.85,25181.7,25186.2,0,0
2025-06-11 11:30:00+05:30,25185.75,25193.65,25185.65,25190.3,0,0
2025-06-11 11:35:00+05:30,25190.4,25193.75,25187.2,25192.8,0,0
2025-06-11 11:40:00+05:30,25192.8,25193.6,25185.5,25187.8,0,0
2025-06-11 11:45:00+05:30,25187.55,25194.2,25184.55,25193.4,0,0
2025-06-11 11:50:00+05:30,25193.05,25215.35,25190.55,25214.9,0,0
2025-06-11 11:55:00+05:30,25214.7,25215.95,25205.65,25210.55,0,0
2025-06-11 12:00:00+05:30,25210.15,25213.0,25205.0,25211.9,0,0
2025-06-11 12:05:00+05:30,25211.6,25213.25,25208.65,25209.9,0,0
